match_id,round,team_id,opponent_team_id,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,height,hitWoodwork,interceptionWon,jerseyNumber,keyPass,lastManTackle,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,touches,wasFouled,wonContest
12499260,1,2686,2689,6,1,31,388,24,22,2,2,1,4,0,11,70,46,0,0,0.7421557,1.7597999999999998,24,2,4,0.7447,0,3724,0,12,572,7,0,6,4,0,0,0,0,1,122,0,3,4,4,16,14,15,1,63,1,465,10,626,10,6
12499261,1,2692,2696,12,1,21,453,9,21,2,3,10,4,0,5,30,43,0,0,1.293201,2.1694,10,1,2,-0.68,1,3870,0,4,667,19,0,6,1,1,0,0,0,0,86,0,1,2,10,8,11,39,1,27,2,493,8,661,7,8
12499261,1,2696,2692,2,0,30,358,21,9,2,1,1,8,1,7,43,30,0,1,0.75564576,0.9877,7,1,1,-1.1549,1,4090,1,2,760,7,1,3,11,0,0,0,0,0,80,2,1,3,3,30,5,10,0,57,1,411,8,551,10,4
12499262,1,2690,2693,1,1,19,199,11,9,2,3,4,9,0,5,38,39,0,0,0.45140433,1.8461,15,1,1,0.49,0,4034,1,8,661,11,0,6,5,0,0,0,0,0,108,1,3,6,4,28,8,11,1,47,1,265,16,439,9,6
12499262,1,2693,2690,2,1,21,353,9,11,0,1,5,6,0,9,39,38,0,0,0.32841739999999997,0.7547,9,0,1,0.5662,0,4394,0,5,721,8,1,7,4,0,0,0,0,0,116,0,4,5,3,25,16,20,1,44,5,416,7,595,11,9
12437619,1,2820,2845,11,3,19,347,19,27,1,1,5,5,0,9,56,61,0,0,1.35438575,1.7413,14,0,0,0.5412,0,4189,2,5,283,13,0,6,4,0,0,0,0,0,185,0,3,3,5,22,19,37,3,53,1,456,15,677,12,8
12437619,1,2845,2820,3,0,13,193,27,19,3,2,4,8,0,10,61,56,0,0,0.47818556,0.9763,12,1,1,0.2557,0,3814,0,9,373,6,0,4,5,1,0,0,0,0,167,0,5,6,2,38,10,15,0,69,2,303,20,514,13,5
12499257,1,2701,2714,3,0,19,185,25,14,3,0,0,8,0,5,54,50,0,2,0.4993047199999999,1.8501,15,3,3,0.6613,0,4763,0,10,802,9,0,4,2,0,0,0,0,0,119,0,3,4,5,23,9,9,0,64,2,275,18,421,13,6
12499257,1,2714,2701,6,1,12,460,14,25,0,1,2,6,0,11,50,54,0,0,0.56428401,0.9698000000000001,13,0,0,0.0057,1,3841,1,5,782,10,0,4,0,0,0,0,0,0,129,0,1,1,8,7,15,17,1,30,0,546,8,704,15,8
12436880,1,38,17,6,1,17,436,5,3,1,1,4,15,0,9,48,36,0,1,0.90248839,1.0143,12,0,0,-1.1779,1,3670,0,10,378,9,1,3,3,0,0,0,0,0,97,0,2,3,3,13,11,18,1,35,2,490,20,658,9,4
12436880,1,17,38,1,1,17,477,3,5,1,0,3,4,0,12,36,48,0,0,0.84314365,0.7695,9,1,2,0.7012,0,3638,0,10,563,8,0,5,4,0,0,0,0,0,97,0,1,3,3,17,23,11,1,35,1,535,16,707,12,15
12436881,1,31,33,8,0,9,211,9,8,2,1,1,13,1,14,56,49,0,0,0.9478110599999999,1.0453,11,1,1,0.9233,0,3658,0,10,322,5,0,3,6,0,0,0,0,0,114,0,5,5,3,38,16,15,0,37,2,275,22,498,12,7
12436881,1,33,31,8,2,13,601,8,9,2,2,5,7,0,11,49,56,0,0,2.35063235,1.1761,12,1,1,0.3218,1,3701,0,6,386,12,0,7,1,0,0,0,0,0,129,0,2,2,3,16,24,28,2,22,1,671,23,879,11,13
12436872,1,42,3,3,0,17,357,13,17,2,1,6,8,0,9,57,58,0,2,0.88554824,1.2372,17,2,2,0.1934,1,3640,0,8,356,17,0,6,1,0,0,0,0,0,110,0,3,3,6,15,19,15,0,37,0,420,18,609,14,9
12436872,1,3,42,4,1,20,307,17,13,1,1,1,9,0,10,58,57,0,0,0.25544742,0.46940000000000004,14,0,0,-0.2967,1,3619,0,7,417,4,0,3,6,0,0,0,0,0,116,2,2,4,5,14,16,14,1,49,1,375,19,545,17,8
12436873,1,48,30,4,2,45,266,13,18,0,0,4,6,0,10,48,54,0,1,0.66480693,0.4547,8,0,0,-0.6252,1,3671,0,13,306,4,0,1,2,0,0,0,0,0,138,0,2,2,4,11,16,17,2,82,7,344,23,529,8,5
