match_number,team,opponent,RESULT,Accurate passes,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Dispossessed,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,High claims,Hit woodwork,Interceptions,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards,Aerial duels_won,Aerial duels_lost,Crosses_won,Crosses_lost,Dribbles_won,Dribbles_lost,Final third phase_won,Final third phase_lost,Ground duels_won,Ground duels_lost,Long balls_won,Long balls_lost,REFEREE_Andy Madley,REFEREE_Anthony Taylor,REFEREE_Chris Kavanagh,REFEREE_Craig Pawson,REFEREE_Darren Bond,REFEREE_Darren England,REFEREE_David Coote,REFEREE_Jarred Gillett,REFEREE_John Brooks,REFEREE_Joshua Smith,REFEREE_Lewis Smith,REFEREE_Michael Oliver,REFEREE_Michael Salisbury,REFEREE_Peter Bankes,REFEREE_Robert Jones,REFEREE_Samuel Allison,REFEREE_Samuel Barrott,REFEREE_Simon Hooper,REFEREE_Stuart Attwell,REFEREE_Thomas Bramall,REFEREE_Tim Robinson,REFEREE_Tony Harrington
251,tottenham,man-utd,1–0,459,0.56,1.0,0.0,1.0,1.0,9,26,10,14,0.44,,,2.23,48,5.0,13,9,10,6.0,0.59,,0,5,0.0,521,,2.0,47,,19,6,7,3,13,0.46,2.0,12,6.0,22,13,44,1.0,9,11,11,20,13,18,135,30,35,46,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
251,man-utd,tottenham,1–0,344,0.44,2.0,2.0,0.0,2.0,4,24,5,10,0.56,,,1.52,45,1.0,9,13,6,6.0,0.51,,0,11,7.0,412,,0.0,54,,14,6,6,2,32,0.63,1.0,13,6.0,16,32,32,2.0,11,9,8,16,2,3,101,24,46,35,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
252,leicester,brentford,0–4,314,0.48,1.0,1.0,0.0,,2,32,5,5,0.4,,,0.51,38,1.0,10,10,6,3.0,-1.57,0.0,0,13,1.0,382,,3.0,39,,5,3,3,3,11,0.45,1.0,19,3.0,8,11,22,4.0,10,22,3,24,5,5,87,37,24,28,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,brentford,leicester,0–4,359,0.52,3.0,1.0,2.0,,5,34,6,7,0.6,,,1.52,61,4.0,10,10,8,3.0,0.35,1.0,1,9,1.0,425,,0.0,46,,12,3,6,2,10,0.9,2.0,12,3.0,14,10,35,0.0,22,10,9,11,9,4,99,42,28,24,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
253,everton,man-utd,2–2,231,0.38,4.0,3.0,1.0,0.0,1,35,7,12,0.49,,,1.91,56,0.0,12,9,5,1.0,-1.74,1.0,0,9,1.0,313,,,51,,8,0,8,1,24,0.75,0.0,13,1.0,9,24,23,4.0,20,20,8,15,6,12,63,46,39,41,25,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,man-utd,everton,2–2,456,0.62,1.0,1.0,0.0,1.0,4,35,8,13,0.51,,,0.41,55,6.0,9,12,4,6.0,-0.39,1.0,0,13,0.0,533,,,54,,4,2,3,5,24,0.63,2.0,17,6.0,9,24,20,1.0,20,20,3,17,7,11,101,41,41,39,22,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,arsenal,west-ham,0–1,574,0.68,1.0,1.0,0.0,,10,6,2,8,0.49,,0.0,1.22,71,4.0,16,15,6,1.0,0.02,2.0,0,8,2.0,642,,0.0,38,1.0,14,8,2,6,12,0.42,,16,1.0,20,12,42,1.0,17,20,7,23,7,4,223,42,33,33,12,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,west-ham,arsenal,0–1,241,0.32,1.0,0.0,1.0,,0,44,0,7,0.51,,2.0,1.07,42,1.0,15,16,10,2.0,0.14,0.0,0,14,2.0,309,,1.0,40,0.0,5,3,2,0,12,0.42,,11,2.0,5,12,11,3.0,20,17,3,5,6,5,44,26,33,33,21,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,bournemouth,wolves,0–1,275,0.45,1.0,1.0,0.0,2.0,3,26,6,14,0.4,1.0,1.0,0.62,73,3.0,17,9,5,5.0,0.35,0.0,0,12,1.0,360,,1.0,59,1.0,6,2,3,2,13,0.38,1.0,23,5.0,8,13,24,3.0,16,17,4,23,11,16,77,43,32,56,27,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
255,wolves,bournemouth,0–1,364,0.55,3.0,2.0,1.0,1.0,3,39,7,10,0.6,0.0,3.0,2.0,42,2.0,9,17,13,3.0,0.33,3.0,1,10,1.0,454,,0.0,56,0.0,8,5,5,5,30,0.5,1.0,16,3.0,13,30,16,3.0,17,16,2,14,9,3,50,27,56,32,14,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256,fulham,crystal-palace,0–2,450,0.62,0.0,0.0,,2.0,5,18,7,13,0.44,,,0.2,74,3.0,10,7,6,4.0,-0.61,0.0,0,8,0.0,543,,1.0,54,,4,5,0,6,15,0.33,0.0,17,4.0,10,15,22,1.0,16,10,5,22,3,12,100,47,25,43,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
256,crystal-palace,fulham,0–2,254,0.38,2.0,2.0,,0.0,2,33,7,10,0.56,,,1.29,51,2.0,7,10,10,0.0,0.0,1.0,0,10,3.0,334,,0.0,50,,7,3,5,3,25,0.44,1.0,13,0.0,10,25,16,3.0,10,16,2,8,9,5,49,46,43,25,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
257,ipswich,tottenham,1–4,292,0.41,3.0,2.0,1.0,,7,11,4,8,0.51,0.0,0.0,1.15,56,4.0,15,14,6,2.0,-1.33,0.0,1,10,2.0,355,,1.0,50,,10,5,5,7,23,0.52,,12,2.0,17,23,26,2.0,4,7,6,13,5,9,82,34,42,37,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
257,tottenham,ipswich,1–4,461,0.59,1.0,0.0,1.0,,3,14,4,11,0.49,1.0,1.0,1.71,41,1.0,14,15,5,4.0,-0.28,1.0,0,6,1.0,533,,0.0,52,,9,1,6,1,17,0.53,,8,4.0,10,17,21,1.0,7,4,1,3,5,12,66,29,37,42,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258,southampton,brighton,0–4,346,0.5,0.0,0.0,0.0,2.0,3,23,5,6,0.43,1.0,1.0,0.13,43,0.0,11,12,3,8.0,0.71,,0,13,2.0,431,,1.0,60,,2,2,1,4,13,0.54,0.0,15,8.0,6,13,5,2.0,12,21,1,10,7,11,48,40,33,38,18,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,brighton,southampton,0–4,356,0.5,10.0,7.0,3.0,0.0,3,22,6,9,0.57,0.0,0.0,3.97,47,2.0,12,11,6,1.0,0.03,,1,9,1.0,436,,0.0,53,,15,3,12,3,17,0.53,2.0,15,1.0,18,17,39,0.0,21,12,5,10,10,5,77,34,38,33,19,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,aston-villa,chelsea,2–1,421,0.52,3.0,2.0,1.0,2.0,3,16,2,10,0.53,0.0,3.0,2.33,55,3.0,15,16,8,5.0,0.97,,0,5,1.0,484,,,50,,10,3,6,2,17,0.53,2.0,14,5.0,12,17,35,1.0,7,8,3,10,11,6,93,32,43,37,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
259,chelsea,aston-villa,2–1,393,0.48,3.0,2.0,1.0,1.0,3,25,3,8,0.47,2.0,3.0,2.3,50,0.0,16,15,6,4.0,0.12,,0,10,1.0,446,,,51,,9,5,7,6,16,0.44,4.0,13,4.0,15,16,26,3.0,8,7,3,9,7,9,76,22,37,43,22,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260,newcastle,forest,4–3,379,0.57,4.0,2.0,2.0,0.0,5,36,7,16,0.52,1.0,3.0,2.91,46,3.0,11,12,9,2.0,-1.01,2.0,1,11,1.0,463,,1.0,56,,13,3,5,0,20,0.65,,22,2.0,13,20,35,1.0,20,15,3,15,13,12,87,40,43,43,15,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,forest,newcastle,4–3,253,0.43,4.0,2.0,2.0,1.0,7,25,6,6,0.48,0.0,1.0,1.79,61,2.0,13,11,5,1.0,-1.36,0.0,0,3,0.0,345,,1.0,54,,10,5,5,7,28,0.71,,19,1.0,17,28,27,4.0,15,20,8,12,6,14,78,44,43,43,12,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,man-city,liverpool,0–2,603,0.66,0.0,0.0,,1.0,8,17,7,9,0.54,,2.0,0.65,75,3.0,3,10,1,2.0,-0.62,0.0,0,3,2.0,659,,0.0,50,,6,3,5,10,5,0.4,0.0,20,2.0,16,5,40,,4,4,3,19,23,13,211,41,37,31,15,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,liverpool,man-city,0–2,268,0.34,1.0,1.0,,1.0,2,34,5,3,0.46,,0.0,0.71,26,0.0,10,3,10,5.0,0.41,1.0,0,4,4.0,332,,1.0,49,,6,2,4,2,22,0.59,1.0,6,5.0,8,22,27,,4,4,2,5,6,2,43,24,31,37,18,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,brighton,bournemouth,2–1,266,0.43,5.0,3.0,2.0,2.0,3,33,1,11,0.48,,1.0,2.42,53,4.0,12,13,15,4.0,0.13,1.0,1,6,0.0,368,,1.0,39,,7,4,4,4,21,0.62,3.0,27,4.0,11,21,25,2.0,18,26,3,5,16,14,67,43,51,50,15,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
262,bournemouth,brighton,2–1,372,0.57,2.0,2.0,0.0,0.0,7,26,9,14,0.52,,1.0,1.46,62,3.0,14,12,7,2.0,-0.37,0.0,0,12,4.0,467,,1.0,51,,12,7,5,7,25,0.52,1.0,18,2.0,19,25,42,1.0,26,18,8,14,14,7,97,46,50,51,23,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
263,crystal-palace,aston-villa,4–1,187,0.36,6.0,4.0,2.0,,5,23,3,4,0.52,0.0,,4.31,47,1.0,19,10,7,1.0,0.01,,0,10,7.0,257,,0.0,50,,14,8,6,5,32,0.66,,13,1.0,19,32,29,3.0,9,14,4,8,4,4,49,36,46,37,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
263,aston-villa,crystal-palace,4–1,404,0.64,2.0,1.0,1.0,,1,14,8,19,0.48,1.0,,0.38,46,0.0,10,19,9,2.0,0.15,,1,9,7.0,468,,1.0,46,,6,3,2,0,8,0.5,,20,2.0,6,8,20,1.0,14,9,5,8,11,13,73,33,37,46,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
264,wolves,fulham,1–2,504,0.6,0.0,0.0,0.0,1.0,6,9,7,10,0.47,1.0,0.0,1.31,68,4.0,8,15,5,3.0,-0.26,,0,6,1.0,570,,0.0,46,,11,7,5,7,10,0.5,1.0,21,3.0,18,10,22,1.0,12,19,6,23,10,10,111,38,35,33,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
264,fulham,wolves,1–2,327,0.4,4.0,2.0,2.0,0.0,3,40,4,4,0.53,0.0,1.0,1.69,46,0.0,15,8,11,4.0,-0.56,,0,6,0.0,387,,1.0,43,,10,3,5,1,20,0.85,1.0,8,4.0,11,20,14,3.0,19,12,3,6,6,6,74,26,33,35,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,chelsea,southampton,4–0,564,0.6,6.0,3.0,3.0,0.0,2,13,4,11,0.56,0.0,0.0,2.56,67,3.0,6,9,8,2.0,0.66,,0,7,2.0,620,,,45,,13,7,10,6,17,0.53,1.0,15,2.0,19,17,39,1.0,12,8,5,5,5,5,183,28,30,25,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
265,southampton,chelsea,4–0,350,0.4,2.0,2.0,0.0,2.0,3,12,2,7,0.44,1.0,1.0,0.72,37,1.0,9,6,9,6.0,-0.91,,0,9,0.0,415,,,42,,5,2,2,2,16,0.69,0.0,13,6.0,7,16,12,2.0,8,12,4,6,4,10,48,25,25,30,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
266,brentford,everton,1–1,384,0.52,2.0,1.0,1.0,0.0,3,24,2,4,0.52,,,1.48,56,1.0,3,6,11,3.0,1.36,3.0,1,9,1.0,458,,1.0,48,,8,6,3,4,13,0.62,1.0,21,3.0,12,13,31,2.0,15,16,4,16,9,11,106,45,26,22,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
266,everton,brentford,1–1,351,0.48,3.0,2.0,1.0,1.0,2,33,5,7,0.48,,,1.37,47,1.0,6,3,8,2.0,-0.11,0.0,0,4,0.0,425,,0.0,47,,7,8,4,7,15,0.53,0.0,23,2.0,14,15,17,1.0,16,15,4,17,4,6,82,33,22,26,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
267,man-utd,ipswich,3–2,298,0.45,2.0,,2.0,0.0,3,24,5,4,0.54,1.0,0.0,0.72,45,3.0,9,16,7,1.0,-0.62,0.0,0,4,0.0,364,,,47,1.0,8,1,6,2,18,0.56,1.0,15,1.0,10,18,23,4.0,10,15,5,13,7,12,57,36,41,29,20,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,ipswich,man-utd,3–2,388,0.55,1.0,,1.0,2.0,5,21,6,9,0.46,0.0,2.0,1.43,72,2.0,16,9,5,4.0,-1.15,2.0,0,11,2.0,451,,,46,0.0,5,4,3,7,16,0.69,1.0,9,4.0,12,16,19,4.0,15,10,2,16,5,9,134,38,29,41,13,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,forest,arsenal,0–0,199,0.35,1.0,1.0,,,3,31,3,10,0.5,,1.0,0.4,44,1.0,10,17,7,1.0,0.39,,0,8,1.0,268,,,39,,4,1,2,2,18,0.56,,16,1.0,6,18,16,1.0,14,16,4,14,5,4,58,34,38,35,19,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,arsenal,forest,0–0,438,0.65,2.0,2.0,,,9,22,11,7,0.5,,1.0,0.99,61,4.0,17,10,7,2.0,0.38,,1,5,2.0,502,,,40,,8,3,1,5,14,0.64,,9,2.0,13,14,30,1.0,16,14,6,21,12,11,165,39,35,38,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,tottenham,man-city,0–1,465,0.56,2.0,2.0,0.0,1.0,2,15,8,5,0.56,,,1.33,48,5.0,12,15,2,4.0,1.09,,0,7,0.0,529,,1.0,49,,11,3,6,0,26,0.58,,19,4.0,11,26,27,3.0,8,5,8,8,9,15,75,30,49,39,12,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
