match_number,team,opponent,RESULT,Accurate passes,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Dispossessed,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,High claims,Hit woodwork,Interceptions,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards,Aerial duels_won,Aerial duels_lost,Crosses_won,Crosses_lost,Dribbles_won,Dribbles_lost,Final third phase_won,Final third phase_lost,Ground duels_won,Ground duels_lost,Long balls_won,Long balls_lost,REFEREE_Andy Madley,REFEREE_Anthony Taylor,REFEREE_Chris Kavanagh,REFEREE_Craig Pawson,REFEREE_Darren Bond,REFEREE_Darren England,REFEREE_David Coote,REFEREE_Jarred Gillett,REFEREE_John Brooks,REFEREE_Joshua Smith,REFEREE_Lewis Smith,REFEREE_Michael Oliver,REFEREE_Michael Salisbury,REFEREE_Peter Bankes,REFEREE_Robert Jones,REFEREE_Samuel Allison,REFEREE_Samuel Barrott,REFEREE_Simon Hooper,REFEREE_Stuart Attwell,REFEREE_Thomas Bramall,REFEREE_Tim Robinson,REFEREE_Tony Harrington
274,ipswich,crystal-palace,1–0,252,0.45,4.0,4.0,0.0,2.0,3,38,4,13,0.47,1.0,1.0,1.48,46,3.0,7,8,10,3.0,0.28,,0,8,,335,,1.0,49,,9,4,8,6,14,0.64,0.0,28,3.0,15,14,16,3.0,22,21,3,13,10,10,52,35,32,39,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
275,liverpool,southampton,3–1,593,0.71,8.0,5.0,3.0,0.0,8,10,6,9,0.47,2.0,0.0,4.12,71,3.0,10,7,5,3.0,-0.64,,0,10,0.0,655,,0.0,52,,23,13,7,5,19,0.79,1.0,21,3.0,28,19,59,2.0,3,9,6,14,18,12,188,42,43,43,23,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
275,southampton,liverpool,3–1,204,0.29,1.0,0.0,1.0,2.0,2,37,4,9,0.53,0.0,1.0,0.36,33,1.0,9,10,12,4.0,0.3,,0,9,1.0,267,,1.0,51,,3,0,4,3,21,0.48,0.0,10,4.0,6,21,8,1.0,9,3,1,4,13,10,30,32,43,43,12,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276,brentford,aston-villa,0–1,395,0.6,0.0,0.0,,0.0,6,32,6,7,0.54,,1.0,0.83,59,0.0,10,5,3,3.0,-0.31,2.0,1,7,2.0,459,,,54,,7,4,3,6,15,0.4,,12,3.0,13,15,37,2.0,23,16,5,22,9,4,114,40,28,27,27,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,aston-villa,brentford,0–1,239,0.4,2.0,2.0,,1.0,6,40,5,5,0.46,,3.0,1.32,37,3.0,5,10,5,3.0,0.7,2.0,0,5,3.0,316,,,47,,10,2,4,2,11,0.45,,14,3.0,12,11,19,2.0,16,23,3,9,6,10,61,33,27,28,18,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,wolves,everton,1–1,527,0.66,1.0,0.0,1.0,0.0,3,24,5,22,0.42,0.0,,0.77,75,2.0,11,16,2,3.0,0.5,2.0,0,6,0.0,597,,1.0,49,,5,5,3,6,13,0.62,1.0,22,3.0,11,13,19,2.0,9,15,3,15,6,10,114,40,35,47,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
277,everton,wolves,1–1,233,0.34,2.0,2.0,0.0,2.0,7,35,5,9,0.58,1.0,,1.41,35,1.0,16,11,11,2.0,0.12,0.0,0,8,1.0,306,,1.0,42,,7,1,4,5,32,0.5,0.0,9,2.0,12,32,18,2.0,15,9,5,11,5,4,42,32,47,35,25,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
278,chelsea,leicester,1–0,467,0.57,1.0,1.0,,0.0,8,21,12,9,0.57,,0.0,1.78,75,2.0,12,12,1,3.0,0.15,1.0,0,10,0.0,541,0.0,,49,,11,5,7,9,11,0.82,1.0,11,3.0,20,11,54,1.0,21,13,6,20,13,9,150,38,37,31,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
278,leicester,chelsea,1–0,339,0.43,0.0,0.0,,1.0,0,36,2,4,0.43,,2.0,0.1,50,0.0,13,12,6,7.0,0.52,0.0,1,5,2.0,417,1.0,,44,,1,0,3,2,18,0.67,0.0,21,7.0,3,18,4,0.0,13,21,1,17,2,7,50,36,31,37,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
279,tottenham,bournemouth,2–2,432,0.61,1.0,0.0,1.0,2.0,5,20,3,15,0.43,,3.0,1.53,56,3.0,15,15,6,6.0,0.54,1.0,2,8,0.0,528,,,50,,8,3,4,4,12,0.83,0.0,36,6.0,12,12,29,3.0,14,14,6,10,7,14,93,35,35,51,13,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279,bournemouth,tottenham,2–2,257,0.39,5.0,3.0,2.0,0.0,5,28,6,6,0.57,,0.0,2.2,41,1.0,16,15,3,2.0,-0.9,0.0,2,15,3.0,336,,,57,,15,4,8,2,29,0.62,1.0,13,2.0,17,29,27,3.0,14,14,5,9,7,6,59,35,51,35,25,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,man-utd,arsenal,1–1,208,0.32,2.0,2.0,,2.0,2,34,2,9,0.57,,1.0,1.52,36,1.0,8,11,10,5.0,0.77,1.0,0,7,0.0,275,,2.0,43,,6,2,6,4,27,0.56,1.0,8,5.0,10,27,17,0.0,14,10,3,8,2,4,55,28,37,28,13,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,arsenal,man-utd,1–1,524,0.68,2.0,2.0,,1.0,5,13,9,13,0.43,,0.0,1.62,71,2.0,11,8,5,5.0,0.47,1.0,0,5,1.0,587,,0.0,45,,9,6,6,8,13,0.62,1.0,22,5.0,17,13,34,1.0,10,14,2,25,9,14,208,34,28,37,12,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,west-ham,newcastle,0–1,372,0.51,1.0,1.0,0.0,1.0,6,19,3,5,0.56,,,0.72,52,1.0,7,15,8,3.0,1.05,1.0,0,9,1.0,461,,0.0,46,,4,1,2,5,15,0.6,0.0,16,3.0,9,15,20,0.0,16,13,4,17,7,7,74,41,37,29,22,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
281,newcastle,west-ham,0–1,352,0.49,3.0,2.0,1.0,0.0,3,25,4,8,0.44,,,1.4,57,0.0,15,7,6,2.0,0.05,1.0,0,8,1.0,433,,2.0,49,,6,3,3,3,12,0.42,1.0,22,2.0,9,12,30,1.0,13,16,7,14,11,7,131,46,29,37,18,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
